"rater","sub","defaced","ratings"
1,1,"original","excellent"
1,1,"defaced","excluded"
1,2,"original","excellent"
1,2,"defaced","good"
1,3,"original","good"
1,3,"defaced","excellent"
1,4,"original","excluded"
1,4,"defaced","excluded"
1,5,"original","poor"
1,5,"defaced","poor"
1,6,"original","poor"
1,6,"defaced","excellent"
1,7,"original","poor"
1,7,"defaced","good"
1,8,"original","excluded"
1,8,"defaced","good"
1,9,"original","good"
1,9,"defaced","poor"
1,10,"original","excluded"
1,10,"defaced","excellent"
1,11,"original","excluded"
1,11,"defaced","poor"
1,12,"original","excluded"
1,12,"defaced","excluded"
1,13,"original","poor"
1,13,"defaced","excluded"
1,14,"original","good"
1,14,"defaced","poor"
1,15,"original","excluded"
1,15,"defaced","poor"
1,16,"original","poor"
1,16,"defaced","poor"
1,17,"original","excellent"
1,17,"defaced","good"
1,18,"original","good"
1,18,"defaced","excluded"
1,19,"original","good"
1,19,"defaced","good"
1,20,"original","excluded"
1,20,"defaced","poor"
1,21,"original","good"
1,21,"defaced","excellent"
1,22,"original","excluded"
1,22,"defaced","excluded"
1,23,"original","excluded"
1,23,"defaced","excluded"
1,24,"original","excellent"
1,24,"defaced","excluded"
1,25,"original","poor"
1,25,"defaced","poor"
1,26,"original","poor"
1,26,"defaced","good"
1,27,"original","poor"
1,27,"defaced","excluded"
1,28,"original","poor"
1,28,"defaced","poor"
1,29,"original","poor"
1,29,"defaced","excellent"
1,30,"original","good"
1,30,"defaced","excellent"
1,31,"original","good"
1,31,"defaced","poor"
1,32,"original","excluded"
1,32,"defaced","excellent"
1,33,"original","excluded"
1,33,"defaced","excluded"
1,34,"original","excellent"
1,34,"defaced","poor"
1,35,"original","excluded"
1,35,"defaced","good"
1,36,"original","good"
1,36,"defaced","excellent"
1,37,"original","excellent"
1,37,"defaced","good"
1,38,"original","excluded"
1,38,"defaced","excluded"
1,39,"original","excluded"
1,39,"defaced","excellent"
1,40,"original","good"
1,40,"defaced","good"
1,41,"original","excluded"
1,41,"defaced","poor"
1,42,"original","excluded"
1,42,"defaced","excellent"
1,43,"original","poor"
1,43,"defaced","excellent"
1,44,"original","excluded"
1,44,"defaced","poor"
1,45,"original","excluded"
1,45,"defaced","excluded"
1,46,"original","excluded"
1,46,"defaced","good"
1,47,"original","excluded"
1,47,"defaced","good"
1,48,"original","good"
1,48,"defaced","excluded"
1,49,"original","poor"
1,49,"defaced","good"
1,50,"original","excellent"
1,50,"defaced","excellent"
1,51,"original","poor"
1,51,"defaced","excluded"
