randomized_id	rater_id	dataset	rating	time_sec	artifacts	confidence	comments	defaced	subject
sub-0152_T1w	rater_02	IXI dataset - MRIQC derivatives	2.55	314.549	"[""noise-global"",""inu"",""processing"",""uncategorized""]"	2.5	blurry, smooth image, A bit of signal dropout in frontal	1	072
sub-1051_T1w	rater_02	IXI dataset - MRIQC derivatives	2.85	150.737	"[""noise-local"",""processing""]"	3.5	Smooth. but seems to be the case of most of the images of the dataset	0	354
sub-1186_T1w	rater_02	IXI dataset - MRIQC derivatives	2.55	104.95	"[""wrap-around"",""uncategorized""]"	3.35	Slightly short FoV in frontal, bordeline cutting the cortex, Small artefact in the background	0	205
sub-0951_T1w	rater_02	IXI dataset - MRIQC derivatives	3.45	84.569	"[""inu""]"	3.5		1	446
sub-0902_T1w	rater_02	IXI dataset - MRIQC derivatives	2.95	68.889	"[""processing""]"	3.5		1	248
sub-0250_T1w	rater_02	IXI dataset - MRIQC derivatives	2.55	90.318	"[""uncategorized""]"	3.15	looks like a bit of drop out in frontal and a bit of background artefact	0	437
sub-0394_T1w	rater_02	IXI dataset - MRIQC derivatives	2.95	97.632	"[""wrap-around"",""processing""]"	1.95	FoV cut a bit short in frontal	1	600
sub-0924_T1w	rater_02	IXI dataset - MRIQC derivatives	2.6	79.662	"[""noise-local"",""inu"",""processing""]"	3.5		0	614
sub-0472_T1w	rater_02	IXI dataset - MRIQC derivatives	2.65	100.888	"[""noise-local"",""inu"",""processing""]"	2.25	low contrast on some views	0	525
sub-0328_T1w	rater_02	IXI dataset - MRIQC derivatives	3.0	58.33	"[""processing""]"	3.5		1	254
sub-0661_T1w	rater_02	IXI dataset - MRIQC derivatives	3.55	38.417	[]	3.5		1	335
sub-0050_T1w	rater_02	IXI dataset - MRIQC derivatives	2.6	128.529	"[""inu"",""processing""]"	2.15	low contrast, background noise	0	383
