Name,Bias,loa_lower,loa_upper,ci_lower,ci_upper,ci_lower_non_param,ci_upper_non_param
cjv,-4.288907832879974e-06,-0.007602820287999926,0.007594242472334166,-0.00030969967002004794,0.000301121854354288,-0.000319429507790193,0.00028693084695071504
cnr,-0.0024361031454133743,-0.023901790762013358,0.01902958447118661,-0.0032988819756711403,-0.001573324315155608,-0.0032730550298452057,-0.001560777857277868
efc,-0.027199941747282876,-0.04800761653916191,-0.00639226695540384,-0.028036272809113773,-0.02636361068545198,-0.02804873338473821,-0.02636922751321344
fber,5768.944974604591,-23386.236971528433,34924.12692073762,4597.099272537056,6940.790676672126,4603.26854553574,6956.586830474341
fwhm_avg,0.00694056098608197,-0.028524899043503492,0.042406021015667435,0.005515083793577947,0.008366038178585992,0.0055264473727652365,0.008358369437101746
fwhm_x,0.006949301751188047,-0.027197608581618918,0.04109621208399501,0.005576821545565709,0.008321781956810385,0.005576391941290628,0.00830853530091121
fwhm_y,0.010836688092869515,-0.03864362843507518,0.060317004620814206,0.008847906257539423,0.012825469928199607,0.00887131601737498,0.012849320161886234
fwhm_z,0.003035693114188364,-0.034968208548034736,0.04103959477641147,0.001508187338132653,0.004563198890244075,0.0015173713096914747,0.004552429137308331
icvs_csf,0.0004656556574166116,-0.002281439004809413,0.0032127503196426365,0.00035524060053067076,0.0005760707143025525,0.0003556413998840086,0.0005738533788090043
icvs_gm,-0.00023117061070658984,-0.0014499851454495146,0.000987643924036335,-0.00028015890296951554,-0.00018218231844366418,-0.00027930437214701933,-0.00018092254733747892
icvs_wm,-0.00023448504671002326,-0.002420101749552477,0.0019511316561324303,-0.00032233239900317706,-0.00014663769441686946,-0.00032193969019914017,-0.00014629032317576004
inu_med,2.064035907507883e-05,-0.006295968766750674,0.006337249484900831,-0.00023324559743911978,0.00027452631558927746,-0.00023220753829824228,0.0002734107674010712
inu_range,-0.0004681330818159291,-0.00392083918264121,0.002984573019009352,-0.0006069090569489228,-0.00032935710668293545,-0.0006061451360643466,-0.000328391864263907
qi_2,-7.7620935435889e-05,-0.0017868812388393324,0.0016316393679675545,-0.0001463219074949449,-8.919963376833115e-06,-0.0001458487572922835,-8.910324047835678e-06
rpve_csf,-0.023091188994091825,-0.10259932193759094,0.0564169439494073,-0.026286890672146738,-0.019895487316036912,-0.02660227180552418,-0.0202413004449416
rpve_gm,-0.023275398398808152,-0.10249289431557346,0.055942097517957146,-0.026459418388466507,-0.020091378409149797,-0.02677255189882691,-0.020419037161855613
rpve_wm,-0.023554344315070752,-0.10321474321880388,0.05610605458866237,-0.026756166078790063,-0.02035252255135144,-0.027063641501520654,-0.020669847344578444
snr_csf,-0.018406712443402366,-0.10537797292230215,0.06856454803549743,-0.021902382543623176,-0.014911042343181555,-0.022005671676113694,-0.015016830008003686
snr_gm,-0.03760657763287424,-0.18072533810582553,0.10551218284007706,-0.04335900629736781,-0.03185414896838067,-0.043319541049324436,-0.03193896824165252
snr_total,-0.036066634512201316,-0.17303639360410214,0.1009031245796995,-0.041571913944228954,-0.03056135508017368,-0.04153699363193139,-0.030658626878534437
snr_wm,-0.05218661346032732,-0.28631492092020006,0.1819416939995454,-0.061597024663938,-0.04277620225671663,-0.06161337154545498,-0.04289791520326709
snrd_csf,-2.653330216660538,-13.681969097717232,8.375308664396158,-3.096608639559742,-2.210051793761334,-3.1251529958932487,-2.217168895491497
snrd_gm,-4.202400067669753,-23.88228670753879,15.477486572199282,-4.993401496462607,-3.4113986388769,-5.044025468708915,-3.4214375097695218
snrd_total,-4.000048336523696,-22.397101403708888,14.397004730661498,-4.739488330666786,-3.2606083423806056,-4.7841202672365215,-3.2707518002630347
snrd_wm,-5.144414725240796,-29.771327889917355,19.482498439435762,-6.134253938061908,-4.154575512419683,-6.1930753928233795,-4.169257646753616
summary_bg_k,35.14830104404172,-1488.7211523006242,1559.0177543887078,-26.101183617493753,96.3977857055772,-14.251761501907499,107.33283126997658
summary_bg_mean,0.07809377933636395,-0.19768222267825858,0.3538697813509865,0.06700940595494294,0.08917815271778497,0.06712521057879466,0.08953728893364019
summary_bg_n,-416.767366720517,-32832.3950205781,31998.860287137068,-1719.6614462765115,886.1267128354775,-1912.2345315024231,511.0412358642971
summary_bg_p95,0.4748513390203285,-1.577068760706938,2.526771438747595,0.3923777069128702,0.5573249711277868,0.3940028881779022,0.5608190325060213
summary_bg_stdv,0.13283948763419404,-0.7816477343932896,1.0473267096616776,0.0960831428201387,0.16959583244824938,0.0989864002977426,0.1729579723333099
summary_csf_k,-0.026118796669483867,-0.6672151665659658,0.614977573226998,-0.05188663537007323,-0.00035095796889450526,-0.05242471334009302,-0.0012054599201119333
summary_csf_mad,0.40000601579685696,-3.1983304416063287,3.9983424732000428,0.2553766624286774,0.5446353691650365,0.25926520587247676,0.5431678248794013
summary_csf_mean,-2.759586245195472,-10.931203018012576,5.412030527621633,-3.088031254108846,-2.431141236282098,-3.0825681764025306,-2.4351685766079703
summary_csf_median,-2.720163611030156,-10.929479015011475,5.489151792951164,-3.0501238558623194,-2.390203366197993,-3.0416528089010337,-2.3935481200169964
summary_csf_n,1939.367772983293,-4484.835445125524,8363.57099109211,1681.1572447739934,2197.5783011925923,1688.826936621338,2197.8542363285355
summary_csf_p05,-3.7734309759604865,-22.36956511170161,14.822703159780637,-4.520872713840978,-3.025989238079995,-4.499585718047988,-2.9992729377340055
summary_csf_p95,-1.849123515035228,-9.605228133192325,5.906981103121869,-2.160867680390336,-1.53737934968012,-2.16158315542166,-1.534167044080029
summary_csf_stdv,0.3210222161027973,-4.148824874755201,4.790869306960795,0.14136389285862516,0.5006805393469694,0.14901313599661342,0.5006546476039868
summary_gm_k,0.03599080317802663,-0.6098756150858958,0.681857221441949,0.010031240046138326,0.061950366309914934,0.009686898187024475,0.06172616098534489
summary_gm_mad,0.19818260262358342,-0.6957071981983403,1.0920724034455072,0.16225413806621813,0.2341110671809487,0.16385402647426464,0.23458555652509286
summary_gm_mean,-0.7283184633770058,-3.8672927065293417,2.41065577977533,-0.8544844904844662,-0.6021524362695454,-0.8550941174105973,-0.6038912410163024
summary_gm_median,-0.6037323200693038,-3.33566268169093,2.1281980415523223,-0.7135378722530974,-0.4939267678855101,-0.7138840134528666,-0.49767805423440115
summary_gm_n,1470.3842582572236,-4751.91386079073,7692.6823773051765,1220.288981154816,1720.4795353596312,1249.662322187273,1747.5936675501762
