"sub","defaced","rater","ratings"
1,"original","rater01","excellent"
1,"defaced","rater01","excellent"
2,"original","rater01","poor"
2,"defaced","rater01","poor"
3,"original","rater01","poor"
3,"defaced","rater01","good"
4,"original","rater01","good"
4,"defaced","rater01","good"
5,"original","rater01","poor"
5,"defaced","rater01","poor"
6,"original","rater01","good"
6,"defaced","rater01","good"
7,"original","rater01","excellent"
7,"defaced","rater01","excellent"
8,"original","rater01","poor"
8,"defaced","rater01","poor"
9,"original","rater01","poor"
9,"defaced","rater01","poor"
10,"original","rater01","excluded"
10,"defaced","rater01","excluded"
11,"original","rater01","poor"
11,"defaced","rater01","poor"
12,"original","rater01","good"
12,"defaced","rater01","good"
13,"original","rater01","good"
13,"defaced","rater01","good"
14,"original","rater01","good"
14,"defaced","rater01","good"
15,"original","rater01","good"
15,"defaced","rater01","good"
16,"original","rater01","excluded"
16,"defaced","rater01","excluded"
17,"original","rater01","poor"
17,"defaced","rater01","poor"
18,"original","rater01","good"
18,"defaced","rater01","good"
19,"original","rater01","good"
19,"defaced","rater01","good"
20,"original","rater01","good"
20,"defaced","rater01","good"
21,"original","rater01","excluded"
21,"defaced","rater01","excluded"
22,"original","rater01","poor"
22,"defaced","rater01","poor"
23,"original","rater01","poor"
23,"defaced","rater01","poor"
24,"original","rater01","excellent"
24,"defaced","rater01","excellent"
25,"original","rater01","poor"
25,"defaced","rater01","poor"
26,"original","rater01","good"
26,"defaced","rater01","good"
27,"original","rater01","good"
27,"defaced","rater01","good"
28,"original","rater01","excluded"
28,"defaced","rater01","excluded"
29,"original","rater01","excellent"
29,"defaced","rater01","excellent"
30,"original","rater01","excellent"
30,"defaced","rater01","excellent"
31,"original","rater01","excellent"
31,"defaced","rater01","excellent"
32,"original","rater01","excluded"
32,"defaced","rater01","excluded"
33,"original","rater01","good"
33,"defaced","rater01","good"
34,"original","rater01","excellent"
34,"defaced","rater01","excellent"
35,"original","rater01","poor"
35,"defaced","rater01","poor"
36,"original","rater01","excluded"
36,"defaced","rater01","excluded"
37,"original","rater01","excluded"
37,"defaced","rater01","excluded"
38,"original","rater01","good"
38,"defaced","rater01","good"
39,"original","rater01","excluded"
39,"defaced","rater01","excluded"
40,"original","rater01","excellent"
40,"defaced","rater01","excellent"
41,"original","rater01","excluded"
41,"defaced","rater01","excluded"
42,"original","rater01","good"
42,"defaced","rater01","good"
43,"original","rater01","good"
43,"defaced","rater01","good"
44,"original","rater01","excellent"
44,"defaced","rater01","excellent"
45,"original","rater01","poor"
45,"defaced","rater01","poor"
46,"original","rater01","good"
46,"defaced","rater01","good"
47,"original","rater01","good"
47,"defaced","rater01","good"
48,"original","rater01","good"
48,"defaced","rater01","good"
49,"original","rater01","good"
49,"defaced","rater01","good"
50,"original","rater01","good"
50,"defaced","rater01","good"
51,"original","rater01","excellent"
51,"defaced","rater01","excellent"
52,"original","rater01","good"
52,"defaced","rater01","good"
53,"original","rater01","excluded"
53,"defaced","rater01","excluded"
54,"original","rater01","good"
54,"defaced","rater01","good"
55,"original","rater01","excellent"
55,"defaced","rater01","excellent"
56,"original","rater01","excellent"
56,"defaced","rater01","excellent"
57,"original","rater01","excellent"
57,"defaced","rater01","excellent"
58,"original","rater01","excluded"
58,"defaced","rater01","excluded"
59,"original","rater01","poor"
59,"defaced","rater01","poor"
60,"original","rater01","excellent"
60,"defaced","rater01","excellent"
61,"original","rater01","excluded"
61,"defaced","rater01","excluded"
62,"original","rater01","excellent"
62,"defaced","rater01","excellent"
63,"original","rater01","excluded"
63,"defaced","rater01","excluded"
64,"original","rater01","poor"
64,"defaced","rater01","poor"
65,"original","rater01","excellent"
65,"defaced","rater01","excellent"
66,"original","rater01","poor"
66,"defaced","rater01","poor"
67,"original","rater01","good"
67,"defaced","rater01","good"
68,"original","rater01","poor"
68,"defaced","rater01","poor"
69,"original","rater01","excellent"
69,"defaced","rater01","excellent"
70,"original","rater01","good"
70,"defaced","rater01","good"
71,"original","rater01","poor"
71,"defaced","rater01","poor"
72,"original","rater01","poor"
72,"defaced","rater01","poor"
73,"original","rater01","excluded"
73,"defaced","rater01","excluded"
74,"original","rater01","good"
74,"defaced","rater01","good"
75,"original","rater01","excluded"
75,"defaced","rater01","excluded"
76,"original","rater01","excluded"
76,"defaced","rater01","excluded"
77,"original","rater01","good"
77,"defaced","rater01","good"
78,"original","rater01","excellent"
78,"defaced","rater01","excellent"
79,"original","rater01","excluded"
79,"defaced","rater01","excluded"
80,"original","rater01","poor"
80,"defaced","rater01","poor"
81,"original","rater01","poor"
81,"defaced","rater01","poor"
82,"original","rater01","excellent"
82,"defaced","rater01","excellent"
83,"original","rater01","good"
